"customer_id","customer_count"
10302,1
10408,1
10736,1
10953,1
11023,3
11049,1
11106,1
11266,1
11340,1
11584,1
11586,1
11720,1
11799,1
11850,2
11880,1
12085,1
12099,1
12199,1
12371,1
12433,1
12458,1
12494,1
12643,1
12875,1
12911,1
12951,1
13005,1
13164,1
13306,1
13555,1
13604,1
13801,1
14307,1
14409,1
14451,1
14737,1
15036,1
15048,1
15169,1
15439,1
15440,1
15609,1
15694,1
15743,1
15802,1
15821,1
16183,1
16347,1
16458,1
16489,1
16612,1
16647,1
16805,1
16848,2
17043,1
17077,1
17098,1
17127,2
17142,1
17450,1
17520,1
17568,1
17682,1
17880,1
18227,1
18272,1
18527,1
18678,1
19044,1
19388,1
19593,1
20371,1
21125,1
21481,3
21608,1
21683,1
21776,1
22212,1
22470,1
22483,1
22587,1
22766,1
22806,1
23373,1
23641,1
23771,1
23860,1
24116,1
24799,1
25207,1
25248,2
25597,3
25856,2
26133,1
26271,1
26311,1
27186,1
27493,1
28088,1
28186,1
28258,1
28728,1
29102,1
29701,1
30615,1
30754,1
31053,1
31164,1
31452,1
31542,1
31586,1
31709,1
31790,1
32061,1
32288,1
32543,1
32727,1
33110,1
33391,1
33431,1
33839,1
33875,1
34335,1
34444,1
34458,1
34894,1
35113,1
35153,1
35191,1
35230,1
35474,1
35525,1
35624,1
35706,1
36114,1
36508,1
36699,1
36823,1
36886,1
36989,1
37009,1
37382,1
37546,1
38031,1
38070,1
38363,1
38554,1
38787,1
39189,1
39431,1
39816,1
39945,1
40057,1
40249,1
40582,1
40637,1
40649,1
40840,1
41187,1
41471,1
41623,1
41943,1
42144,1
42236,1
42279,1
42536,1
42605,1
42636,1
42909,1
42988,1
43330,1
43457,1
44198,1
44225,2
44301,1
44510,1
44660,1
44995,1
45070,1
45077,1
45330,1
45428,1
45518,1
45630,1
46932,1
47145,3
47312,1
47343,1
47442,1
47810,1
47866,1
47924,1
48041,1
48061,1
48243,1
48273,1
48761,1
48964,1
49095,2
49193,1
49595,1
49973,1
50192,1
50443,1
50567,1
50868,1
50882,1
50886,1
51087,1
51218,1
51379,1
51415,1
51554,1
51569,1
51658,1
51812,1
51832,2
52139,1
52180,1
52798,1
52918,1
53263,1
53455,1
53874,1
55104,1
55271,1
55483,1
55687,1
55886,1
56130,1
56292,1
56807,1
56956,1
57590,1
57800,1
58342,1
58804,1
58814,1
59262,1
59531,1
60553,1
60592,1
60660,1
60941,1
61031,1
61200,1
61242,1
61283,1
61533,1
61543,1
61561,1
61614,1
61873,1
61936,1
61978,1
61990,1
62415,1
63057,1
63880,1
63997,1
64744,1
65090,1
65134,1
66473,1
66701,1
67016,1
67583,1
67722,1
67874,1
68025,1
68642,1
69041,1
69530,2
69716,2
69755,1
69802,1
69838,2
70067,1
70265,1
70422,1
70497,1
71068,1
71127,1
71309,1
71571,1
72210,1
72263,1
73645,1
74000,1
74087,1
74367,1
74974,1
75189,1
75595,1
75893,1
76273,1
76285,1
76286,1
76375,1
77007,1
77017,2
78094,1
78199,1
78464,1
78558,1
78559,1
78705,1
78854,1
78911,1
78954,1
79358,1
79397,1
79745,1
79977,1
81038,2
81219,1
81238,1
81329,1
81428,1
81550,1
81736,1
82147,1
82384,3
82682,1
82718,1
83203,1
83272,1
83487,1
83516,1
84054,1
84263,1
84342,1
84357,1
84964,1
84990,1
85019,1
85076,1
86555,1
86800,1
86859,1
87194,1
87270,1
87722,1
87954,1
88155,2
88524,2
89336,2
89839,1
89988,2
91502,1
91611,1
91926,1
91948,2
92037,1
92045,1
92101,1
92136,1
92220,1
92459,1
92484,1
92837,1
92924,2
93485,1
93673,1
93698,1
93853,1
93987,1
94045,1
94953,1
95217,1
95542,1
95605,1
95641,1
96208,2
96302,1
96521,1
96847,1
97221,1
97322,1
97865,1
98229,1
98295,1
98810,1
98900,1
98992,1
99109,1
99394,1
99614,1
99719,1
100047,1
100680,1
100774,1
101083,1
101107,1
101420,1
101752,1
102144,2
102160,1
102655,1
102658,1
102672,1
102818,1
102953,1
103049,1
103174,1
103522,1
104208,1
106738,1
106765,1
107178,1
107339,1
107637,1
107924,1
107935,1
108339,1
108753,1
108759,1
108825,3
109109,1
109188,1
109191,1
109369,1
109510,1
109587,1
109786,1
109914,1
110282,1
110472,1
110503,1
110521,1
110617,1
110849,1
110900,2
111012,1
111110,1
111197,1
111281,1
111323,1
111356,1
111457,1
111795,1
111887,1
112036,1
112419,1
112449,1
112519,1
112767,1
113342,1
113450,1
113963,1
113972,1
114023,1
114146,1
114432,1
114798,1
114801,1
114874,1
114968,1
114969,1
115001,1
115010,1
115225,1
115411,1
115650,1
115744,1
115826,1
116065,2
116269,1
116359,1
116493,1
116535,1
116899,1
117134,1
117139,1
117319,1
117529,1
117685,1
117731,1
117921,1
117941,1
118044,1
118197,1
118198,1
118497,1
118523,1
118772,1
118788,1
118897,1
118974,1
119249,1
119809,1
119820,1
119821,1
119830,1
119837,1
119922,1
119923,1
119925,1
119930,1
119936,1
119976,1
119982,1
120003,1
120027,1
120159,1
120223,1
120385,1
120388,1
120820,1
120933,1
120953,2
121027,1
121329,1
121408,1
121464,1
121641,1
121771,1
121815,3
121842,1
121904,1
122127,1
122142,1
122199,1
122441,1
122605,1
122668,1
122806,1
123028,1
123044,1
123053,1
123055,1
123064,1
123066,1
123071,1
123074,1
123077,1
123085,1
123175,1
123191,1
123217,1
123221,1
123230,1
123310,1
123563,1
123717,1
124150,1
124166,1
124311,1
124491,1
124531,1
124567,1
124869,1
124911,1
125030,1
125037,1
125096,1
125316,1
125893,1
125997,1
126115,1
126289,1
126322,1
126541,1
126971,1
126987,1
127372,1
127505,1
127520,1
127778,1
127974,1
128061,1
128130,1
128172,1
128239,1
128267,1
128318,1
128813,1
128977,1
129347,1
129355,1
129357,1
129508,1
129568,1
129783,1
129873,1
130021,1
130067,1
130073,1
130138,1
130253,1
130521,1
130543,1
130550,1
130938,1
131048,1
131154,1
131198,1
131279,1
131282,1
131539,1
131554,1
131559,1
131679,1
131731,1
131774,1
131807,1
131833,1
132687,1
132889,1
133130,1
133147,1
133155,1
133162,1
133164,1
133172,1
133241,1
133249,1
133251,1
133277,1
133789,1
133852,1
133951,1
134057,1
134086,1
134205,2
134751,1
134788,1
134806,1
134811,1
134813,1
134871,1
134986,1
135162,1
135666,1
135733,1
136006,1
136008,2
136023,1
136219,1
136231,1
136412,1
136739,1
136790,1
136901,2
137013,1
137039,1
137133,1
137266,1
137471,1
137538,1
137617,1
137715,1
137792,1
137960,1
138114,1
138410,1
138484,1
138915,1
139189,1
139224,1
139483,1
139528,1
139776,1
140033,1
140361,2
140519,1
140525,1
140852,1
140943,1
141016,1
141272,1
141298,1
141511,1
141585,1
141641,2
141649,1
141678,1
141730,1
141757,1
141839,1
142063,1
142064,1
142196,1
142771,1
142786,1
142823,1
142874,1
143026,2
143205,1
143244,1
143433,1
143878,1
144062,1
144253,1
144270,1
144279,1
144285,1
144299,1
144492,1
144685,1
144705,1
144761,1
145315,2
145341,1
145442,1
145480,1
145526,1
145607,1
146090,1
146094,1
146175,1
146481,1
146674,1
146761,1
146937,1
146959,1
146963,1
146980,1
146984,1
147346,1
147447,1
147511,1
147560,1
147931,1
147994,1
148039,1
148215,1
148261,1
148829,1
148832,1
148973,2
149340,1
149516,1
149600,1
149609,1
149622,1
149785,1
149842,1
150136,1
150158,2
150295,1
150390,1
150421,1
150586,1
150954,1
151014,1
151928,1
152090,1
152330,1
152434,1
152518,1
152542,1
152648,1
152713,1
152796,1
153299,1
153739,1
153785,1
154438,1
154785,1
154886,1
154896,1
154952,1
154965,1
154969,1
154975,1
154983,1
154985,1
155250,1
155255,1
155458,1
155470,1
155545,1
155678,1
155739,1
155784,1
155787,1
155792,1
155799,1
156020,1
156347,2
156587,1
156684,1
156781,1
157173,1
157232,1
157328,1
157492,1
157533,1
157615,1
157685,1
157750,1
158067,1
158129,1
158357,1
158401,1
158409,1
158518,1
158559,1
158768,1
158781,1
158784,1
159177,1
159234,1
159327,1
159436,1
159485,1
159601,1
159675,1
159678,1
159940,1
159978,1
160422,1
160428,1
160611,1
160613,1
160796,1
160808,1
161081,1
161169,1
161443,1
161711,1
161824,1
161869,1
161982,1
162351,1
162482,1
162562,1
162587,1
162694,1
162773,1
162820,1
162883,1
162952,1
163052,2
163318,1
163405,1
163502,1
164107,1
164221,1
164248,1
164440,1
164525,1
164620,1
164757,1
164968,1
164982,1
165106,1
165653,1
165777,1
165952,1
166038,1
166268,1
166284,1
166456,1
166486,1
166537,1
166599,1
166697,1
167106,1
167163,1
167272,1
167446,1
167495,2
167569,1
167605,2
167620,1
167659,1
167674,1
167677,1
167832,1
168020,1
168055,1
168090,1
168107,1
168583,1
168716,1
169012,1
169136,1
169214,1
169469,1
169674,1
169712,1
169761,1
169822,1
169839,1
169858,1
169902,1
170252,2
170378,1
170379,1
170460,1
170472,2
170500,1
170521,1
170727,1
170738,1
170882,1
170894,1
171102,1
171134,1
171165,1
171219,1
171290,1
171340,1
171376,1
171378,1
171683,1
171699,1
171714,1
171909,1
172042,1
172151,1
172358,1
172380,1
172505,1
172830,1
172898,1
172990,1
173299,1
173381,1
173387,1
173464,1
173748,1
173837,1
173982,1
174090,1
174185,1
174186,1
174541,1
174566,1
174763,1
174874,1
174901,1
174932,1
175060,1
175083,1
175169,2
175263,1
175294,1
175640,1
175827,1
176009,1
176316,1
176695,1
176944,1
177008,1
177044,1
177380,1
177649,1
177976,1
178048,1
178720,1
178753,1
178940,1
179147,1
179312,1
179346,1
179830,1
179888,1
179912,1
180160,1
180169,1
180236,1
180281,1
180966,1
181024,1
181038,1
181045,1
181092,1
181749,1
182094,1
182135,1
182274,1
182420,1
182436,2
182437,1
182574,1
182609,1
182654,1
182695,1
183061,1
183069,1
183150,1
183384,1
183496,1
183638,1
183813,1
183898,1
184236,1
184624,1
184690,1
185218,1
185391,1
185575,1
185591,1
185642,1
186352,1
186395,1
186523,1
186832,1
187005,1
187172,1
187387,1
187485,1
188059,1
188538,2
188727,1
189400,1
189950,1
190138,1
190474,1
190731,1
191068,1
191328,1
191366,1
191406,1
191748,1
191830,1
191867,1
192036,1
192205,1
192973,1
193022,1
193093,1
193259,1
194350,1
194414,1
194543,1
194548,1
194713,1
194845,1
195025,1
195097,2
195127,2
195533,1
195822,1
196203,1
196490,1
196770,1
196887,1
196895,1
197308,1
197607,1
197949,1
197974,1
198095,1
198404,1
199574,1
200246,1
200396,1
200480,1
200537,1
200588,1
201272,1
201291,1
201500,1
201712,1
201824,1
201862,1
202495,1
202650,1
202682,1
202747,1
203268,1
203577,1
203916,1
203974,1
203982,1
204163,1
204230,1
204297,1
204622,1
204733,1
204779,1
204797,1
204836,1
204949,1
205008,1
205326,1
205492,1
205582,1
205628,1
205829,1
205919,1
206257,1
206985,1
207007,1
207111,2
207380,1
207702,1
207735,1
207829,1
208282,1
208448,1
208684,1
208690,1
208863,1
208887,1
209136,1
209275,1
209593,1
209797,1
209801,1
210003,1
210468,2
211057,1
211099,1
211145,1
211264,1
211290,1
211329,1
211340,1
211346,1
211408,1
211415,1
211577,1
211942,1
211957,1
212109,1
212433,1
212643,1
213135,1
213156,1
213318,1
213320,1
213350,1
213663,1
213766,1
213955,1
213960,1
214056,1
214113,1
214267,1
214367,1
214990,1
215253,1
215449,1
215490,1
215541,1
215879,1
216058,1
216137,1
216501,1
216543,1
217016,1
217170,1
217284,1
217345,1
217836,4
218045,1
218551,1
218618,1
218630,1
218638,1
219084,1
219197,1
219716,1
219717,1
219864,1
220123,1
220336,1
220404,1
220585,1
220592,1
221298,1
221774,1
221775,1
222040,1
222185,1
222401,1
222430,1
222507,2
222587,1
222958,1
222960,1
223119,1
223130,1
223228,1
223334,1
223983,1
224084,1
224194,2
224399,1
224513,1
224674,1
224676,1
224715,2
224975,1
225075,1
225357,1
225528,1
225615,1
226089,1
226398,1
226418,1
226439,1
226446,1
227241,1
227563,1
227914,1
227953,1
228443,1
228509,1
228703,2
229389,1
229420,1
229448,1
229533,1
229763,1
230011,1
230329,1
230354,1
230388,1
230483,1
230498,1
230554,1
230573,1
231021,1
231217,1
231218,2
231288,1
232125,1
232634,1
232709,1
233218,1
233329,1
233578,1
233678,1
233720,1
233859,1
234146,1
234422,1
234500,1
234586,1
234655,2
234879,1
235174,1
235195,1
235350,1
235429,1
235676,1
235724,1
235856,1
235942,1
236013,1
236164,1
236181,1
236606,1
236699,1
236819,1
237007,1
237311,1
237399,1
237528,5
237683,1
237929,1
238021,1
238099,1
238558,1
238604,2
238702,1
239049,1
239051,1
239111,1
239269,1
239598,1
239648,1
240376,1
240455,1
240565,1
240633,2
240838,1
240842,1
241109,1
241167,1
241224,1
241315,1
241696,1
241925,1
242243,1
242330,1
242421,1
242456,1
242915,1
242961,1
243084,1
243319,1
243412,1
243820,1
243826,2
